t,x,y,vd,xyd,nd,d,st
154,1022.31,1149.84,0.389332,0.389332,6,6.35027,0
154,1022.67,1149.99,0.389606,0.389606,6,6.35062,0
155,1023.03,1150.14,0.389881,0.389881,6,6.35091,0
155,1023.4,1150.28,0.390419,0.390419,6,6.35186,0
155,1023.76,1150.43,0.390687,0.390687,6,6.35271,0
156,1024.12,1150.58,0.390954,0.390954,6,6.35348,0
156,1024.48,1150.72,0.391222,0.391222,6,6.35417,0
156,1024.84,1150.87,0.391555,0.391555,6,6.35476,0
157,1025.21,1151.02,0.391818,0.391818,6,6.35553,0
157,1025.57,1151.17,0.392082,0.392082,6,6.35622,0
157,1025.93,1151.31,0.392392,0.392392,6,6.35606,0
158,1026.3,1151.46,0.39265,0.39265,6,6.35574,0
158,1026.66,1151.61,0.392908,0.392908,6,6.35537,0
158,1027.02,1151.76,0.393166,0.393166,6,6.35494,0
159,1027.39,1151.91,0.393444,0.393443,6,6.3546,0
159,1027.75,1152.06,0.393698,0.393698,6,6.35406,0
159,1028.12,1152.21,0.393952,0.393952,6,6.35345,0
160,1028.48,1152.36,0.394121,0.394121,6,6.35137,0
160,1028.84,1152.51,0.394372,0.394371,6,6.34962,0
160,1029.21,1152.66,0.394622,0.394622,6,6.34782,0
161,1029.43,1152.75,0.390783,0.390784,6,6.34664,0
161,1029.79,1152.9,0.391049,0.391049,6,6.34477,0
161,1030.15,1153.05,0.391315,0.391314,6,6.34283,0
161,1030.52,1153.2,0.391581,0.39158,6,6.34082,0
162,1030.88,1153.35,0.391882,0.391882,6,6.33801,0
162,1031.24,1153.5,0.392144,0.392143,6,6.3354,0
162,1031.6,1153.65,0.392406,0.392406,6,6.3327,0
163,1031.97,1153.81,0.394436,0.394436,6,6.32958,0
163,1032.33,1153.96,0.394685,0.394685,6,6.3265,0
164,1032.69,1154.11,0.394934,0.394934,6,6.32331,0
164,1033.06,1154.26,0.395178,0.395178,6,6.32077,0
164,1033.42,1154.41,0.395424,0.395424,6,6.31785,0
165,1033.79,1154.57,0.395669,0.395669,6,6.31479,0
165,1034.16,1154.72,0.396067,0.396067,6,6.3128,0
165,1034.52,1154.87,0.396308,0.396308,6,6.31013,0
166,1034.89,1155.02,0.396549,0.396549,6,6.30727,0
166,1035.25,1155.18,0.396936,0.396936,6,6.30309,0
166,1035.62,1155.33,0.397172,0.397172,6,6.29915,0
167,1035.99,1155.48,0.397409,0.397409,6,6.29502,0
167,1036.35,1155.64,0.397902,0.397902,6,6.2912,0
167,1036.72,1155.79,0.398133,0.398133,6,6.28673,0
168,1037.09,1155.95,0.398364,0.398363,6,6.28205,0
168,1037.45,1156.1,0.398595,0.398595,6,6.27716,0
168,1037.82,1156.26,0.398822,0.398822,6,6.27189,0
169,1038.19,1156.41,0.39905,0.399049,6,6.26665,0
169,1038.56,1156.57,0.399277,0.399277,6,6.26117,0
169,1038.92,1156.73,0.399573,0.399573,6,6.25508,0
170,1039.29,1156.88,0.399797,0.399797,6,6.24884,0
170,1039.66,1157.04,0.400021,0.400021,6,6.24236,0
170,1040.03,1157.2,0.400243,0.400243,6,6.23415,0
171,1040.39,1157.36,0.400464,0.400464,6,6.22614,0
171,1040.76,1157.52,0.400684,0.400683,6,6.21791,0
171,1041.13,1157.68,0.401115,0.401115,6,6.20904,0
172,1041.5,1157.84,0.401331,0.401331,6,6.20006,0
172,1041.86,1158,0.401547,0.401547,6,6.19087,0
172,1042.23,1158.16,0.401817,0.401817,6,6.18146,0
173,1042.6,1158.32,0.402029,0.402028,6,6.17197,0
173,1042.97,1158.48,0.402242,0.402242,6,6.16225,0
173,1043.34,1158.64,0.402492,0.402492,6,6.1519,0
174,1043.71,1158.8,0.402701,0.402701,6,6.14143,0
174,1044.08,1158.96,0.402911,0.402911,6,6.13072,0
174,1044.44,1159.13,0.403137,0.403137,6,6.11824,0
175,1044.81,1159.29,0.403343,0.403343,6,6.10602,0
175,1045.18,1159.46,0.403549,0.403549,6,6.09361,0
176,1045.55,1159.62,0.403686,0.403686,6,6.08038,0
176,1045.92,1159.79,0.40389,0.40389,6,6.06723,0
176,1046.29,1159.95,0.404093,0.404093,6,6.0539,0
177,1046.55,1160.07,0.400975,0.400975,6,6.0448,0
177,1046.91,1160.23,0.401192,0.401192,6,6.03156,0
177,1047.28,1160.39,0.401409,0.401409,6,6.01815,0
178,1047.64,1160.56,0.401656,0.401656,6,6.00483,0
178,1048.01,1160.72,0.401868,0.401868,6,5.99148,0
178,1048.38,1160.89,0.402081,0.40208,6,5.97797,0
179,1048.74,1161.05,0.402293,0.402293,6,5.96431,0
179,1049.11,1161.22,0.403942,0.403942,6,5.94979,0
179,1049.48,1161.38,0.404144,0.404144,6,5.93523,0
180,1049.85,1161.55,0.404347,0.404347,6,5.92058,0
180,1050.22,1161.72,0.404547,0.404547,6,5.90602,0
180,1050.59,1161.88,0.404747,0.404747,6,5.89112,0
181,1050.96,1162.05,0.404943,0.404943,6,5.8775,0
181,1051.33,1162.21,0.405141,0.405141,6,5.86339,0
181,1051.7,1162.38,0.405338,0.405338,6,5.80336,0
182,1052.07,1162.55,0.405658,0.405658,6,5.79242,0
182,1052.44,1162.71,0.405852,0.405851,6,5.78139,0
182,1052.81,1162.88,0.406046,0.406046,6,5.77034,0
183,1053.18,1163.05,0.406356,0.406356,6,5.75871,0
183,1053.55,1163.21,0.406547,0.406547,6,5.74712,0
183,1053.92,1163.38,0.406737,0.406737,6,5.73558,0
184,1054.29,1163.55,0.407131,0.407131,6,5.72467,0
184,1054.66,1163.72,0.407318,0.407318,6,5.71362,0
184,1055.03,1163.88,0.407505,0.407505,6,5.70266,0
185,1055.4,1164.05,0.407688,0.407688,6,5.69173,0
185,1055.77,1164.22,0.407872,0.407872,6,5.68116,0
185,1056.15,1164.39,0.408056,0.408055,6,5.67074,0
186,1056.52,1164.55,0.408295,0.408294,6,5.6603,0
186,1056.89,1164.72,0.408476,0.408476,6,5.65006,0
186,1057.27,1164.89,0.408657,0.408657,6,5.64004,0
187,1057.64,1165.05,0.408836,0.408836,6,5.62998,0
187,1058.01,1165.22,0.409015,0.409015,6,5.62041,0
187,1058.39,1165.39,0.409193,0.409192,6,5.6111,0
188,1058.76,1165.55,0.409541,0.40954,6,5.60112,0
188,1059.13,1165.72,0.409716,0.409716,6,5.59162,0
188,1059.51,1165.89,0.40989,0.40989,6,5.58248,0
189,1059.88,1166.05,0.410108,0.410108,6,5.57508,0
189,1060.26,1166.22,0.41028,0.41028,6,5.56762,0
189,1060.64,1166.38,0.410452,0.410452,6,5.56054,0
190,1061.01,1166.55,0.410654,0.410653,6,5.55415,0
190,1061.39,1166.71,0.410823,0.410823,6,5.54774,0
190,1061.77,1166.87,0.410992,0.410992,6,5.54178,0
191,1062.14,1167.04,0.411175,0.411175,6,5.53627,0
191,1062.52,1167.2,0.411341,0.411341,6,5.53132,0
191,1062.9,1167.36,0.411508,0.411508,6,5.52689,0
192,1063.28,1167.53,0.411619,0.411618,6,5.52252,0
192,1063.65,1167.69,0.411784,0.411784,6,5.51887,0
192,1063.94,1167.81,0.409251,0.409251,6,5.51549,0
193,1064.32,1167.97,0.409427,0.409427,6,5.51208,0
193,1064.7,1168.13,0.409603,0.409602,6,5.5093,0
193,1065.07,1168.29,0.409805,0.409805,6,5.50816,0
194,1065.45,1168.45,0.409978,0.409978,6,5.5074,0
194,1065.83,1168.61,0.410151,0.410151,6,5.50729,0
194,1066.21,1168.77,0.410322,0.410322,6,5.50729,0
195,1066.59,1168.93,0.410493,0.410493,6,5.50832,0
195,1066.97,1169.08,0.410664,0.410664,6,5.51007,0
195,1067.35,1169.24,0.411989,0.411989,6,5.51254,0
196,1067.73,1169.4,0.412152,0.412151,6,5.5157,0
196,1068.11,1169.55,0.412315,0.412315,6,5.51963,0
196,1068.49,1169.71,0.412474,0.412474,6,5.52437,0
197,1068.88,1169.86,0.412634,0.412634,6,5.52985,0
197,1069.26,1170.01,0.412794,0.412794,6,5.53614,0
197,1069.64,1170.17,0.413054,0.413054,6,5.54374,0
198,1070.03,1170.32,0.413212,0.413212,6,5.55199,0
198,1070.41,1170.47,0.413369,0.413369,6,5.56108,0
198,1070.8,1170.62,0.413621,0.413621,6,5.57121,0
199,1071.18,1170.77,0.413776,0.413776,6,5.58195,0
199,1071.57,1170.92,0.41393,0.41393,6,5.59357,0
199,1071.95,1171.07,0.414251,0.41425,6,5.60587,0
200,1072.34,1171.21,0.414402,0.414402,6,5.61919,0
200,1072.73,1171.36,0.414554,0.414553,6,5.63343,0
200,1073.12,1171.5,0.414703,0.414703,6,5.65025,0
201,1073.51,1171.65,0.414852,0.414852,6,5.66744,0
201,1073.9,1171.79,0.415001,0.415001,6,5.68554,0
201,1074.29,1171.93,0.415195,0.415195,6,5.70467,0
201,1074.68,1172.07,0.415342,0.415342,6,5.72468,0
202,1075.07,1172.22,0.415489,0.415488,6,5.74562,0
202,1075.46,1172.36,0.415635,0.415635,6,5.76708,0
202,1075.85,1172.5,0.41578,0.415779,6,6.64384,0
203,1076.24,1172.63,0.415924,0.415924,6,6.60435,0
203,1076.64,1172.77,0.416207,0.416207,6,6.56611,0
203,1077.03,1172.91,0.416349,0.416348,6,6.52863,0
204,1077.42,1173.04,0.41649,0.416491,6,6.49209,0
204,1077.82,1173.18,0.416667,0.416667,6,6.45789,0
204,1078.21,1173.31,0.416807,0.416807,6,6.42425,0
205,1078.61,1173.44,0.416946,0.416946,6,6.39154,0
205,1079,1173.57,0.41711,0.41711,6,6.35944,0
205,1079.4,1173.7,0.417248,0.417248,6,6.32855,0
206,1079.8,1173.83,0.417385,0.417385,6,6.29861,0
206,1080.19,1173.96,0.417533,0.417533,6,6.27083,0
206,1080.59,1174.09,0.417668,0.417669,6,6.24375,0
207,1080.99,1174.21,0.417804,0.417804,6,6.2176,0
207,1081.39,1174.34,0.417894,0.417894,6,6.19243,0
207,1081.79,1174.46,0.418027,0.418027,6,6.16843,0
207,1082.19,1174.58,0.41816,0.418161,6,6.14537,0
208,1082.51,1174.68,0.416105,0.416106,6,6.12746,0
208,1082.91,1174.8,0.416247,0.416245,6,6.10656,0
208,1083.31,1174.92,0.416388,0.416389,6,6.08659,0
209,1083.71,1175.04,0.416562,0.416562,6,6.06729,0
209,1084.11,1175.16,0.416701,0.416702,6,6.04913,0
209,1084.51,1175.28,0.416841,0.41684,6,6.03191,0
210,1084.91,1175.4,0.41698,0.41698,6,6.01593,0
210,1085.31,1175.51,0.417118,0.417117,6,6.00081,0
210,1085.71,1175.62,0.417255,0.417256,6,5.98663,0
211,1086.11,1175.74,0.418327,0.418327,6,5.97222,0
211,1086.52,1175.85,0.418458,0.418458,6,5.95909,0
211,1086.92,1175.97,0.418589,0.418589,6,5.94694,0
212,1087.32,1176.08,0.418719,0.418718,6,5.93529,0
212,1087.73,1176.19,0.418848,0.418848,6,5.92459,0
212,1088.13,1176.3,0.418977,0.418976,6,5.9149,0
213,1088.53,1176.41,0.419187,0.419188,6,5.90726,0
213,1088.94,1176.52,0.419314,0.419313,6,5.90031,0
213,1089.35,1176.62,0.419441,0.419442,6,5.89435,0
214,1089.75,1176.73,0.419645,0.419645,6,5.88951,0
214,1090.16,1176.83,0.41977,0.41977,6,5.8857,0
214,1090.56,1176.94,0.419894,0.419895,6,5.88286,0
215,1090.97,1177.04,0.420154,0.420154,6,5.88119,0
215,1091.38,1177.14,0.420276,0.420276,6,5.8805,0
215,1091.79,1177.25,0.420398,0.420397,6,5.88077,0
216,1092.2,1177.35,0.420519,0.42052,6,5.88249,0
216,1092.6,1177.44,0.42064,0.420639,6,5.88484,0
216,1093.01,1177.54,0.42076,0.420759,6,5.88813,0
217,1093.42,1177.64,0.420919,0.420918,6,5.89118,0
217,1093.83,1177.74,0.421036,0.421037,6,5.8955,0
217,1094.24,1177.84,0.421154,0.421154,6,5.90078,0
218,1094.65,1177.93,0.421272,0.421272,6,5.90703,0
218,1095.06,1178.03,0.42139,0.42139,6,5.91335,0
218,1095.47,1178.12,0.421506,0.421505,6,5.92078,0
219,1095.89,1178.21,0.421622,0.421623,6,5.92918,0
219,1096.3,1178.31,0.42185,0.42185,6,5.93988,0
219,1096.71,1178.4,0.421964,0.421964,6,5.95103,0
219,1097.12,1178.49,0.422077,0.422076,6,5.96309,0
220,1097.53,1178.58,0.42222,0.42222,6,6.6391,0
220,1097.95,1178.66,0.422332,0.422331,6,6.60465,0
220,1098.36,1178.75,0.422444,0.422444,6,6.57108,0
221,1098.77,1178.84,0.422576,0.422576,6,6.53923,0
221,1099.19,1178.92,0.422686,0.422686,6,6.50813,0
222,1099.6,1179.01,0.422796,0.422796,6,6.47786,0
222,1100.02,1179.09,0.422916,0.422916,6,6.44901,0
222,1100.43,1179.17,0.423025,0.423025,6,6.42063,0
223,1100.85,1179.25,0.423133,0.423133,6,6.39304,0
223,1101.2,1179.32,0.421415,0.421415,6,6.36943,0
223,1101.62,1179.4,0.421531,0.42153,6,6.34323,0
224,1102.03,1179.48,0.421646,0.421646,6,6.31782,0
224,1102.44,1179.56,0.421761,0.421763,6,6.29318,0
224,1102.86,1179.64,0.421908,0.421908,6,6.26854,0
225,1103.27,1179.72,0.422021,0.422021,6,6.24495,0
225,1103.69,1179.8,0.422135,0.422135,6,6.22214,0
225,1104.1,1179.87,0.422247,0.422248,6,6.19995,0
226,1104.52,1179.95,0.422359,0.422358,6,6.17867,0
226,1104.94,1180.02,0.422471,0.422472,6,6.15814,0
226,1105.35,1180.09,0.423341,0.423341,6,6.13956,0
227,1105.77,1180.17,0.423448,0.423448,6,6.12155,0
227,1106.19,1180.24,0.423554,0.423554,6,6.10423,0
227,1106.6,1180.31,0.423659,0.423659,6,6.08726,0
228,1107.02,1180.38,0.423764,0.423764,6,6.07093,0
228,1107.44,1180.45,0.423869,0.42387,6,6.05529,0
228,1107.86,1180.52,0.42404,0.424039,6,6.04057,0
229,1108.28,1180.59,0.424143,0.424143,6,6.02645,0
229,1108.7,1180.66,0.424246,0.424247,6,6.01298,0
230,1109.11,1180.72,0.424412,0.424412,6,5.99974,0
230,1109.53,1180.79,0.424513,0.424514,6,5.98749,0
230,1109.95,1180.86,0.424614,0.424615,6,5.97588,0
231,1110.37,1180.92,0.424825,0.424824,6,5.96574,0
231,1110.79,1180.99,0.424924,0.424924,6,5.9558,0
231,1111.21,1181.05,0.425023,0.425024,6,5.94646,0
232,1111.63,1181.11,0.425122,0.425122,6,5.93766,0
232,1112.05,1181.18,0.425219,0.42522,6,5.92976,0
232,1112.47,1181.24,0.425317,0.425317,6,5.92245,0
233,1112.89,1181.3,0.425446,0.425446,6,5.91554,0
233,1113.32,1181.36,0.425542,0.425542,6,5.90959,0
234,1113.74,1181.42,0.425638,0.425637,6,5.9042,0
234,1114.16,1181.48,0.425732,0.425732,6,5.89956,0
234,1114.58,1181.54,0.425827,0.425827,6,5.89549,0
235,1115,1181.6,0.425922,0.425922,6,5.89195,0
235,1115.42,1181.66,0.426017,0.426017,6,5.88783,0
235,1115.85,1181.71,0.42611,0.42611,6,5.8847,0
236,1116.27,1181.77,0.426204,0.426203,6,5.8821,0
236,1116.69,1181.83,0.426411,0.426411,6,5.87922,0
236,1117.11,1181.89,0.426502,0.426503,6,5.87705,0
237,1117.54,1181.94,0.426593,0.426593,6,5.87544,0
237,1117.96,1182,0.426684,0.426685,6,5.87437,0
237,1118.38,1182.05,0.426792,0.426792,6,5.87385,0
238,1118.81,1182.11,0.426881,0.426882,6,5.87368,0
238,1119.23,1182.16,0.426971,0.426971,6,5.87404,0
238,1119.65,1182.22,0.427059,0.427059,6,5.87609,0
239,1120.08,1182.27,0.427148,0.427148,6,5.87824,0
239,1120.5,1182.32,0.427244,0.427244,6,5.88078,0
240,1120.92,1182.37,0.427331,0.427331,6,5.88367,0
240,1121.35,1182.43,0.427419,0.427419,6,5.88704,0
240,1121.72,1182.47,0.426035,0.426037,6,5.89145,0
241,1122.15,1182.52,0.426128,0.42613,6,6.19773,0
241,1122.57,1182.57,0.426221,0.426223,6,6.18037,0
242,1122.99,1182.62,0.426341,0.426341,6,6.16415,0
242,1123.42,1182.67,0.426433,0.426433,6,6.14819,0
242,1123.84,1182.71,0.426525,0.426525,6,6.13264,0
243,1124.26,1182.76,0.426616,0.426616,6,6.11887,0
243,1124.69,1182.81,0.426706,0.426706,6,6.10496,0
243,1125.11,1182.85,0.426797,0.426797,6,6.0914,0
244,1125.54,1182.9,0.4275,0.4275,6,6.08007,0
244,1125.96,1182.94,0.427586,0.427585,6,6.06853,0
245,1126.39,1182.98,0.427672,0.427672,6,6.05727,0
245,1126.81,1183.03,0.427756,0.427756,6,6.04538,0
245,1127.24,1183.07,0.427841,0.427841,6,6.03419,0
246,1127.67,1183.11,0.427926,0.427926,6,6.02331,0
246,1128.09,1183.16,0.428064,0.428064,6,6.01125,0
247,1128.52,1183.2,0.428148,0.428147,6,5.99992,0
247,1128.94,1183.25,0.428231,0.428231,6,5.98894,0
247,1129.37,1183.29,0.428365,0.428365,6,5.97887,0
248,1129.8,1183.33,0.428447,0.428447,6,5.9691,0
248,1130.22,1183.37,0.428618,0.428618,6,5.95827,0
248,1130.65,1183.42,0.428699,0.428699,6,5.9481,0
249,1131.08,1183.46,0.428779,0.428779,6,5.93831,0
249,1131.5,1183.5,0.428859,0.428859,6,5.92902,0
250,1131.93,1183.54,0.428938,0.428938,6,5.92039,0
250,1132.36,1183.58,0.429018,0.429018,6,5.91211,0
250,1132.78,1183.62,0.429122,0.429122,6,5.90406,0
251,1133.21,1183.66,0.4292,0.4292,6,5.89614,0
251,1133.64,1183.7,0.429278,0.429278,6,5.88858,0
251,1134.06,1183.74,0.429356,0.429355,6,5.88125,0
252,1134.49,1183.78,0.429433,0.429433,6,5.87421,0
252,1134.92,1183.82,0.429509,0.429509,6,5.86865,0
252,1135.35,1183.86,0.429585,0.429585,6,5.86304,0
253,1135.78,1183.9,0.429661,0.429661,6,5.85773,0
253,1136.2,1183.93,0.429737,0.429737,6,5.85436,0
253,1136.63,1183.97,0.429813,0.429813,6,5.85094,0
254,1137.06,1184,0.429888,0.429887,6,5.84777,0
254,1137.49,1184.04,0.430054,0.430054,6,5.84446,0
254,1137.92,1184.08,0.430127,0.430127,6,5.84155,0
255,1138.35,1184.11,0.430201,0.430201,6,5.83891,0
255,1138.77,1184.14,0.430288,0.430287,6,5.83683,0
256,1139.2,1184.18,0.43036,0.43036,6,5.83471,0
256,1139.63,1184.21,0.430433,0.430432,6,5.83286,0
256,1140.06,1184.25,0.430504,0.430503,6,5.83197,0
257,1140.49,1184.28,0.430576,0.430576,6,5.83124,0
257,1140.92,1184.31,0.430647,0.430647,6,5.83075,0
257,1141.35,1184.35,0.430724,0.430724,6,5.83051,0
258,1141.78,1184.38,0.430794,0.430795,6,5.83053,0
258,1142.17,1184.41,0.429676,0.429676,6,5.83174,0
258,1142.6,1184.44,0.429751,0.429751,6,5.8329,0
259,1143.03,1184.47,0.429827,0.429825,6,5.83425,0
259,1143.45,1184.5,0.429924,0.429923,6,5.83609,0
259,1143.88,1184.53,0.429998,0.429998,6,5.83785,0
260,1144.31,1184.56,0.430072,0.430072,6,5.83939,0
260,1144.74,1184.59,0.430146,0.430145,6,5.84134,0
260,1145.17,1184.62,0.430219,0.430219,6,5.84349,0
261,1145.6,1184.66,0.43079,0.430789,6,5.8448,0
261,1146.03,1184.69,0.43086,0.43086,6,5.84649,0
262,1146.46,1184.72,0.43093,0.43093,6,5.84843,0
262,1146.89,1184.75,0.430999,0.430999,6,5.85009,0
262,1147.32,1184.78,0.431068,0.431068,6,5.85224,0
263,1147.75,1184.81,0.431136,0.431136,6,5.85558,0
263,1148.18,1184.84,0.431204,0.431204,6,5.8589,0
263,1148.61,1184.87,0.431273,0.431273,6,5.86245,0
264,1149.04,1184.89,0.431383,0.431383,6,5.86656,0
264,1149.47,1184.92,0.431451,0.43145,6,5.87092,0
265,1149.9,1184.95,0.431559,0.431559,6,5.8759,0
265,1150.33,1184.98,0.431625,0.431625,6,5.88123,0
265,1150.76,1185.01,0.431692,0.431692,6,5.88674,0
266,1151.19,1185.03,0.431829,0.431829,6,5.89254,0
266,1151.62,1185.06,0.431894,0.431894,6,5.89847,0
266,1152.05,1185.09,0.431958,0.431958,6,5.90456,0
267,1152.49,1185.11,0.432022,0.432022,6,5.91198,0
267,1152.92,1185.14,0.432086,0.432086,6,5.91919,0
268,1153.35,1185.16,0.43217,0.43217,6,5.92751,0
268,1153.78,1185.19,0.432234,0.432233,6,5.93575,0
268,1154.21,1185.21,0.432297,0.432297,6,5.94408,0
269,1154.64,1185.23,0.43236,0.432359,6,6.12268,0
269,1155.08,1185.26,0.432422,0.432422,6,6.11913,0
270,1155.51,1185.28,0.432484,0.432484,6,6.11566,0
270,1155.94,1185.3,0.432545,0.432544,6,6.1118,0
270,1156.37,1185.33,0.432606,0.432606,6,6.10832,0
271,1156.8,1185.35,0.432668,0.432668,6,6.10493,0
271,1157.23,1185.38,0.432729,0.432729,6,6.10087,0
272,1157.67,1185.4,0.432789,0.432788,6,6.09741,0
272,1158.1,1185.42,0.43285,0.43285,6,6.09404,0
272,1158.53,1185.45,0.432983,0.432983,6,6.09,0
273,1158.96,1185.47,0.433042,0.433042,6,6.08655,0
273,1159.4,1185.5,0.433102,0.433101,6,6.08321,0
274,1159.83,1185.52,0.433171,0.433171,6,6.08137,0
274,1160.26,1185.54,0.43323,0.43323,6,6.07909,0
274,1160.69,1185.56,0.433287,0.433287,6,6.07815,0
275,1161.13,1185.58,0.433345,0.433345,6,6.07683,0
275,1161.56,1185.61,0.433403,0.433403,6,6.07553,0
275,1161.99,1185.63,0.433465,0.433465,6,6.07382,0
276,1162.42,1185.65,0.433522,0.433522,6,6.07199,0
276,1162.86,1185.67,0.433579,0.433578,6,6.07022,0
276,1163.26,1185.69,0.432679,0.432679,6,6.06881,0
277,1163.69,1185.71,0.43274,0.43274,6,6.06762,0
277,1164.12,1185.74,0.4328,0.432801,6,6.06646,0
277,1164.55,1185.76,0.432878,0.432878,6,6.06619,0
278,1164.99,1185.78,0.432938,0.432938,6,6.06579,0
278,1165.42,1185.8,0.432998,0.432998,6,6.06539,0
279,1165.85,1185.82,0.433461,0.433461,6,6.06639,0
279,1166.29,1185.84,0.433518,0.433518,6,6.06699,0
279,1166.72,1185.86,0.433575,0.433574,6,6.06755,0
280,1167.15,1185.88,0.433631,0.43363,6,6.06958,0
280,1167.58,1185.89,0.433687,0.433687,6,6.07109,0
280,1168.02,1185.91,0.433743,0.433742,6,6.07217,0
281,1168.45,1185.93,0.433798,0.433798,6,6.07345,0
281,1168.88,1185.95,0.433853,0.433853,6,6.07466,0
281,1169.32,1185.97,0.433943,0.433943,6,6.07642,0
282,1169.75,1185.99,0.433998,0.433997,6,6.07767,0
282,1170.18,1186.01,0.434052,0.434052,6,6.07884,0
282,1170.62,1186.03,0.43414,0.43414,6,6.07858,0
283,1171.05,1186.05,0.434194,0.434194,6,6.0787,0
283,1171.49,1186.07,0.434305,0.434305,6,6.07747,0
284,1171.92,1186.09,0.434358,0.434357,6,6.07665,0
284,1172.35,1186.11,0.43441,0.43441,6,6.07584,0
284,1172.79,1186.14,0.434462,0.434462,6,6.07542,0
285,1173.22,1186.16,0.434514,0.434513,6,6.07518,0
285,1173.65,1186.18,0.434566,0.434566,6,6.07492,0
285,1174.09,1186.2,0.434634,0.434634,6,6.07413,0
286,1174.52,1186.22,0.434685,0.434685,6,6.07325,0
286,1174.96,1186.24,0.434736,0.434736,6,6.07114,0
287,1175.39,1186.26,0.434787,0.434787,6,6.06938,0
287,1175.83,1186.29,0.434837,0.434837,6,6.06765,0
287,1176.26,1186.31,0.434887,0.434886,6,6.06626,0
288,1176.69,1186.33,0.434937,0.434937,6,6.06991,0
288,1177.13,1186.35,0.434986,0.434985,6,6.06943,0
289,1177.56,1186.37,0.435035,0.435035,6,6.06873,0
289,1178,1186.39,0.435085,0.435085,6,6.068,0
289,1178.43,1186.41,0.435134,0.435134,6,6.0687,0
290,1178.87,1186.43,0.435183,0.435183,6,6.06888,0
290,1179.3,1186.45,0.43529,0.43529,6,6.0687,0
291,1179.74,1186.47,0.435338,0.435338,6,6.06864,0
291,1180.17,1186.49,0.435386,0.435386,6,6.0685,0
291,1180.61,1186.51,0.435442,0.435442,6,6.06694,0
292,1181.04,1186.54,0.435489,0.435489,6,6.06574,0
292,1181.48,1186.56,0.435536,0.435535,6,6.06325,0
292,1181.91,1186.58,0.435583,0.435583,6,6.06109,0
293,1182.35,1186.6,0.43563,0.43563,6,6.05892,0
293,1182.78,1186.62,0.43568,0.43568,6,6.05724,0
294,1183.22,1186.65,0.435726,0.435726,6,6.05565,0
294,1183.65,1186.67,0.435772,0.435772,6,6.05401,0
294,1184.06,1186.69,0.435045,0.435045,6,6.05213,0
295,1184.49,1186.71,0.435094,0.435094,6,6.04989,0
295,1184.93,1186.73,0.435143,0.435142,6,6.04762,0
296,1185.36,1186.76,0.435206,0.435206,6,6.04436,0
296,1185.8,1186.78,0.435254,0.435254,6,6.04125,0
296,1186.23,1186.8,0.435302,0.435302,6,6.03815,0
297,1186.67,1186.83,0.435677,0.435677,6,6.03375,0
297,1187.1,1186.85,0.435723,0.435722,6,6.02972,0
298,1187.54,1186.88,0.435769,0.435768,6,6.02626,0
298,1187.97,1186.9,0.435814,0.435814,6,6.02244,0
298,1188.41,1186.92,0.435859,0.435859,6,6.01865,0
299,1188.84,1186.95,0.435904,0.435904,6,6.01472,0
299,1189.28,1186.97,0.435949,0.435949,6,6.01091,0
300,1189.71,1187,0.435994,0.435994,6,6.00712,0
300,1190.15,1187.02,0.436066,0.436066,6,6.00319,0
300,1190.58,1187.04,0.43611,0.43611,6,5.99935,0
301,1191.02,1187.07,0.436154,0.436154,6,5.99554,0
301,1191.45,1187.09,0.436225,0.436225,6,5.99176,0
301,1191.89,1187.12,0.436268,0.436268,6,5.988,0
302,1192.33,1187.14,0.436312,0.436312,6,5.98426,0
302,1192.76,1187.16,0.436401,0.436401,6,5.98016,0
302,1193.2,1187.19,0.436444,0.436443,6,5.97632,0
303,1193.63,1187.21,0.436485,0.436484,6,5.97262,0
303,1194.07,1187.24,0.436527,0.436527,6,5.96884,0
304,1194.5,1187.26,0.436569,0.436569,6,5.96509,0
304,1194.94,1187.28,0.436624,0.436624,6,5.96116,0
304,1195.38,1187.31,0.436666,0.436665,6,5.95738,0
305,1195.81,1187.33,0.436707,0.436707,6,5.95363,0
305,1196.25,1187.36,0.436748,0.436748,6,5.94975,0
305,1196.68,1187.38,0.436788,0.436788,6,5.94599,0
306,1197.12,1187.4,0.436829,0.436828,6,5.94215,0
306,1197.56,1187.43,0.436869,0.436869,6,5.9384,0
307,1197.99,1187.45,0.43691,0.43691,6,5.93469,0
307,1198.43,1187.48,0.436949,0.436948,6,5.93072,0
307,1198.86,1187.5,0.436988,0.436988,6,5.92697,0
308,1199.3,1187.52,0.437028,0.437028,6,5.92312,0
308,1199.74,1187.55,0.437068,0.437068,6,5.91939,0
308,1200.17,1187.57,0.437107,0.437106,6,5.91572,0
309,1200.61,1187.6,0.437193,0.437192,6,5.91185,0
309,1201.05,1187.62,0.437232,0.437232,6,5.90824,0
309,1201.48,1187.64,0.437277,0.437277,6,5.90429,0
310,1201.92,1187.67,0.437316,0.437316,6,5.9007,0
310,1202.36,1187.69,0.437354,0.437354,6,5.89721,0
310,1202.79,1187.71,0.437391,0.437391,6,5.89518,0
311,1203.23,1187.74,0.437429,0.437429,6,5.96023,0
311,1203.67,1187.76,0.437466,0.437465,6,5.95248,0
311,1204.1,1187.78,0.437506,0.437506,6,5.94371,0
312,1204.54,1187.81,0.437543,0.437543,6,5.93537,0
312,1204.96,1187.83,0.436956,0.436956,6,5.92787,0
