t,x,y,vd,xyd,nd,d,st
33,917.27,1128.83,0.164001,0.164001,6,6.06975,0
33,917.436,1128.83,0.165392,0.165392,6,6.06942,0
33,917.602,1128.84,0.166625,0.166625,6,6.06864,0
34,917.77,1128.84,0.167997,0.167997,6,6.06767,0
34,917.939,1128.84,0.169368,0.169368,6,6.06667,0
34,918.108,1128.84,0.170424,0.170424,6,6.06671,0
35,918.279,1128.84,0.171776,0.171776,6,6.06645,0
35,918.453,1128.85,0.173129,0.173129,6,6.06615,0
35,917.703,1128.84,0.152631,0.152617,6,6.06803,0
36,917.857,1128.84,0.154067,0.154059,6,6.06709,0
36,918.012,1128.84,0.155498,0.155498,6,6.06661,0
36,918.168,1128.84,0.165777,0.165777,6,6.06565,0
37,918.335,1128.85,0.167152,0.167152,6,6.0648,0
37,918.503,1128.85,0.168528,0.168528,6,6.06392,0
37,918.674,1128.85,0.170751,0.170751,6,6.06355,0
38,918.846,1128.85,0.172102,0.172102,6,6.06328,0
38,919.019,1128.85,0.173453,0.173453,6,6.06295,0
38,919.195,1128.86,0.175637,0.175637,6,6.06235,0
39,919.372,1128.86,0.176971,0.176971,6,6.06141,0
39,919.551,1128.86,0.179109,0.179109,6,6.05947,0
39,919.732,1128.87,0.180419,0.180418,6,6.05762,0
40,919.913,1128.87,0.181728,0.181728,6,6.05572,0
40,920.097,1128.87,0.183771,0.183771,6,6.05482,0
40,920.282,1128.87,0.185058,0.185058,6,6.05363,0
40,920.468,1128.88,0.186345,0.186345,6,6.05238,0
41,920.657,1128.88,0.188274,0.188274,6,6.05254,0
41,920.846,1128.88,0.189539,0.189539,6,6.05228,0
41,921.037,1128.88,0.190803,0.190803,6,6.05193,0
42,921.229,1128.89,0.192448,0.192448,6,6.05121,0
42,921.423,1128.89,0.193692,0.193692,6,6.0507,0
42,921.618,1128.89,0.194936,0.194936,6,6.0501,0
43,921.815,1128.89,0.196681,0.196681,6,6.04799,0
43,922.013,1128.9,0.197905,0.197905,6,6.04625,0
43,922.212,1128.9,0.199128,0.199128,6,6.04443,0
43,922.413,1128.9,0.201027,0.201027,6,6.04375,0
44,922.615,1128.91,0.202229,0.202229,6,6.04263,0
44,922.818,1128.91,0.203431,0.203431,6,6.04141,0
44,923.023,1128.91,0.204927,0.204927,6,6.03966,0
45,923.229,1128.92,0.20611,0.20611,6,6.03821,0
45,923.436,1128.92,0.207293,0.207293,6,6.03664,0
46,923.645,1128.92,0.208677,0.208677,6,6.03376,0
46,923.855,1128.93,0.209841,0.209841,6,6.03109,0
